iter	Passed	Remaining
0	1	136
1	2	142
2	4	130
3	4	118
4	6	115
5	7	116
6	8	114
7	9	112
8	10	111
9	12	109
10	13	108
11	14	107
12	15	106
13	17	104
14	18	102
15	19	101
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	51	66
44	53	64
45	54	63
46	55	62
47	56	61
48	57	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	67	50
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	82	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
